  
       XFOIL         Version 6.99
  
 Calculated polar for: E387                                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.1728   0.00794   0.00155  -0.0793   0.6451   0.0153
  -1.500   0.2286   0.00741   0.00122  -0.0793   0.6337   0.0841
  -1.000   0.2841   0.00689   0.00109  -0.0795   0.6228   0.2263
  -0.500   0.3389   0.00627   0.00106  -0.0797   0.6121   0.4520
   0.000   0.3906   0.00547   0.00113  -0.0791   0.6019   0.7690
   0.500   0.4519   0.00506   0.00112  -0.0798   0.5916   1.0000
   1.000   0.5076   0.00518   0.00114  -0.0798   0.5813   1.0000
   1.500   0.5634   0.00530   0.00118  -0.0798   0.5697   1.0000
   2.000   0.6193   0.00543   0.00125  -0.0797   0.5568   1.0000
   2.500   0.6750   0.00557   0.00133  -0.0797   0.5424   1.0000
   3.000   0.7305   0.00573   0.00145  -0.0797   0.5278   1.0000
   3.500   0.7860   0.00590   0.00160  -0.0797   0.5119   1.0000
   4.000   0.8409   0.00611   0.00177  -0.0796   0.4894   1.0000
   4.500   0.8952   0.00640   0.00198  -0.0795   0.4589   1.0000
   5.000   0.9472   0.00694   0.00230  -0.0790   0.3968   1.0000
   5.500   0.9946   0.00807   0.00293  -0.0781   0.2875   1.0000
   6.000   1.0377   0.00970   0.00391  -0.0767   0.1605   1.0000
   6.500   1.0774   0.01163   0.00517  -0.0748   0.0433   1.0000
   7.000   1.1218   0.01293   0.00631  -0.0733   0.0115   1.0000
   7.500   1.1687   0.01387   0.00733  -0.0722   0.0100   1.0000
   8.000   1.2116   0.01514   0.00872  -0.0704   0.0091   1.0000
   8.500   1.2535   0.01635   0.01006  -0.0686   0.0085   1.0000
   9.000   1.2908   0.01784   0.01168  -0.0662   0.0081   1.0000
   9.500   1.3225   0.01956   0.01354  -0.0631   0.0077   1.0000
  10.000   1.3444   0.02153   0.01565  -0.0586   0.0074   1.0000
  -2.000   0.1728   0.00794   0.00155  -0.0793   0.6451   0.0153
  -1.500   0.2286   0.00741   0.00122  -0.0793   0.6337   0.0841
  -1.000   0.2841   0.00689   0.00109  -0.0795   0.6228   0.2263
  -0.500   0.3389   0.00627   0.00106  -0.0797   0.6121   0.4520
   0.000   0.3906   0.00547   0.00113  -0.0791   0.6019   0.7690
   0.500   0.4519   0.00506   0.00112  -0.0798   0.5916   1.0000
   1.000   0.5076   0.00518   0.00114  -0.0798   0.5813   1.0000
   1.500   0.5634   0.00530   0.00118  -0.0798   0.5697   1.0000
   2.000   0.6193   0.00543   0.00125  -0.0797   0.5568   1.0000
   2.500   0.6750   0.00557   0.00133  -0.0797   0.5424   1.0000
   3.000   0.7305   0.00573   0.00145  -0.0797   0.5278   1.0000
   3.500   0.7860   0.00590   0.00160  -0.0797   0.5119   1.0000
   4.000   0.8409   0.00611   0.00177  -0.0796   0.4894   1.0000
   4.500   0.8952   0.00640   0.00198  -0.0795   0.4589   1.0000
   5.000   0.9472   0.00694   0.00230  -0.0790   0.3968   1.0000
   5.500   0.9946   0.00807   0.00293  -0.0781   0.2875   1.0000
   6.000   1.0377   0.00970   0.00391  -0.0767   0.1605   1.0000
   6.500   1.0774   0.01163   0.00517  -0.0748   0.0433   1.0000
   7.000   1.1218   0.01293   0.00631  -0.0733   0.0115   1.0000
   7.500   1.1687   0.01387   0.00733  -0.0722   0.0100   1.0000
   8.000   1.2116   0.01514   0.00872  -0.0704   0.0091   1.0000
   8.500   1.2535   0.01635   0.01006  -0.0686   0.0085   1.0000
   9.000   1.2908   0.01784   0.01168  -0.0662   0.0081   1.0000
   9.500   1.3225   0.01956   0.01354  -0.0631   0.0077   1.0000
  10.000   1.3444   0.02153   0.01565  -0.0586   0.0074   1.0000
  10.500   1.3556   0.02387   0.01814  -0.0530   0.0072   1.0000
  11.000   1.3636   0.02696   0.02138  -0.0484   0.0071   1.0000
  11.500   1.3676   0.03154   0.02613  -0.0442   0.0068   1.0000
  12.000   1.3815   0.03518   0.03002  -0.0415   0.0066   1.0000
  12.500   1.3938   0.03956   0.03465  -0.0391   0.0066   1.0000
  13.000   1.4006   0.04407   0.03944  -0.0375   0.0065   1.0000
  13.500   1.4001   0.04982   0.04550  -0.0363   0.0064   1.0000
  14.000   1.3918   0.05684   0.05285  -0.0361   0.0064   1.0000
  14.500   1.3737   0.06569   0.06206  -0.0370   0.0064   1.0000
  15.000   1.3481   0.07621   0.07294  -0.0397   0.0065   1.0000
