# Force and moment coefficients
# dragDir               : (9.9902800828979665e-01 4.4079912120170803e-02 0.0000000000000000e+00)
# sideDir               : (0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00)
# liftDir               : (-4.4079912120170803e-02 9.9902800828979665e-01 0.0000000000000000e+00)
# rollAxis              : (9.9902800828979665e-01 4.4079912120170803e-02 0.0000000000000000e+00)
# pitchAxis             : (0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00)
# yawAxis               : (-4.4079912120170803e-02 9.9902800828979665e-01 0.0000000000000000e+00)
# magUInf               : 2.4800000000000000e+02
# lRef                  : 1.0000000000000000e+00
# Aref                  : 1.0000000000000000e-02
# CofR                  : (2.5000000000000000e-01 0.0000000000000000e+00 0.0000000000000000e+00)
#
# Time                  	Cd                      	Cd(f)                   	Cd(r)                   	Cl                      	Cl(f)                   	Cl(r)                   	CmPitch                 	CmRoll                  	CmYaw                   	Cs                      	Cs(f)                   	Cs(r)                   
1                       	3.1357122462681697e-01	1.5595686046664994e-01	1.5761436416016703e-01	1.6575036935171233e-01	4.8111848449274686e-02	1.1763852090243766e-01	-3.4763336226581482e-02	-8.2875184675854096e-04	1.5678561231234197e-03	-2.4228082859232643e-14	1.5678561231113057e-03	-1.5678561231355340e-03
2                       	3.1525135674842397e-01	1.5666830198187420e-01	1.5858305476654977e-01	1.9147527846756471e-01	4.2277966832016400e-02	1.4919731163554831e-01	-5.3459672401765954e-02	-9.5737639233778597e-04	1.5762567837328317e-03	-2.1558447592428539e-14	1.5762567837220524e-03	-1.5762567837436111e-03
3                       	3.2121539976982366e-01	1.5950652616761751e-01	1.6170887360220615e-01	2.2023474345886956e-01	3.7544815962874629e-02	1.8268992749599494e-01	-7.2572555766560146e-02	-1.1011737172943064e-03	1.6060769988418947e-03	-1.6959981612334214e-14	1.6060769988334150e-03	-1.6060769988503749e-03
4                       	3.2285209978411145e-01	1.6025574745696664e-01	1.6259635232714481e-01	2.3406048701782856e-01	3.1401429907756406e-02	2.0265905711007215e-01	-8.5628813601157872e-02	-1.1703024350890939e-03	1.6142604989160089e-03	-1.1089757118151560e-14	1.6142604989104639e-03	-1.6142604989215540e-03
5                       	3.2446508594780188e-01	1.6101322751455818e-01	1.6345185843324372e-01	2.4386309186855812e-01	2.7397075781510287e-02	2.1646601608704782e-01	-9.4534470152768765e-02	-1.2193154593427623e-03	1.6223254297371632e-03	-5.1213464418721935e-15	1.6223254297346025e-03	-1.6223254297397238e-03
6                       	3.2569549971494549e-01	1.6161180822811744e-01	1.6408369148682805e-01	2.4718832587106848e-01	2.8311816275676308e-02	2.1887650959539220e-01	-9.5282346659857936e-02	-1.2359416293553161e-03	1.6284774985751167e-03	-1.6381936929350681e-16	1.6284774985750347e-03	-1.6284774985751986e-03
7                       	3.2231765631391662e-01	1.5995855048917243e-01	1.6235910582474419e-01	2.4005553355717779e-01	2.9414960005425164e-02	2.1064057355175261e-01	-9.0612806773163732e-02	-1.2002776677858880e-03	1.6115882815712526e-03	2.7246069624616291e-15	1.6115882815726148e-03	-1.6115882815698904e-03
8                       	3.1478910984269148e-01	1.5628488372566252e-01	1.5850422611702894e-01	2.2193423913664065e-01	3.1413221837898631e-02	1.9052101729874202e-01	-7.9553897730421694e-02	-1.1096711956832040e-03	1.5739455492152564e-03	3.1170313768378738e-15	1.5739455492168148e-03	-1.5739455492136977e-03
9                       	3.0922255124107167e-01	1.5355356987137270e-01	1.5566898136969895e-01	2.1154114983262665e-01	3.3119270510975483e-02	1.7842187932165118e-01	-7.2651304405337833e-02	-1.0577057491631245e-03	1.5461127562065142e-03	1.8499209819790458e-15	1.5461127562074392e-03	-1.5461127562055893e-03
10                      	3.0659860704495046e-01	1.5222742568886372e-01	1.5437118135608674e-01	2.1437556672231009e-01	3.3691851656222523e-02	1.8068371506608757e-01	-7.3495931704932529e-02	-1.0718778336115248e-03	1.5329930352250890e-03	1.5629688459356601e-16	1.5329930352251670e-03	-1.5329930352250109e-03
